first_feasible_sol,first_feasible_time,total_ban_num,objective_value,total_iter_num,total_time,cp_feasible_sol,cp_feasible_time,optimal,cp_value,cp_time
0,0.06,0,0,1,0.06,3.0,0.02,True,0.0,0.05
0,0.04,0,0,1,0.04,2.0,0.02,True,0.0,0.05
0,0.04,0,0,1,0.04,6.0,0.02,True,0.0,0.04
0,0.04,0,0,1,0.04,3.0,0.02,True,0.0,0.05
0,0.04,0,0,1,0.04,5.0,0.02,True,0.0,0.04
0,0.05,1,0,1,0.05,5.0,0.03,True,0.0,0.06
1,0.03,2,1,1,0.03,2.0,0.03,True,1.0,0.13
0,0.05,1,0,1,0.05,3.0,0.03,True,0.0,0.07
0,0.04,1,0,1,0.04,1.0,0.03,True,0.0,0.06
0,0.05,0,0,1,0.05,1.0,0.03,True,0.0,0.06
0,0.05,4,0,1,0.05,5.0,0.04,True,0.0,0.07
0,0.03,2,0,1,0.03,3.0,0.04,True,0.0,0.07
0,0.04,2,0,1,0.04,3.0,0.04,True,0.0,0.07
0,0.03,3,0,1,0.03,3.0,0.03,True,0.0,0.05
0,0.03,2,0,1,0.03,0.0,0.04,True,0.0,0.07
0,0.04,3,0,1,0.04,1.0,0.04,True,0.0,0.05
0,0.03,2,0,1,0.03,0.0,0.04,True,0.0,0.07
0,0.04,4,0,1,0.04,0.0,0.04,True,0.0,0.06
0,0.04,6,0,1,0.04,0.0,0.03,True,0.0,0.05
0,0.03,2,0,1,0.03,0.0,0.04,True,0.0,0.06
1,0.07,0,1,1,0.07,15.0,0.09,True,1.0,0.6
1,0.07,0,1,1,0.07,6.0,0.15,True,1.0,1.02
1,0.06,0,1,1,0.06,3.0,0.15,True,1.0,0.92
1,0.06,0,1,1,0.06,10.0,0.09,True,1.0,0.74
1,0.06,0,1,1,0.06,13.0,0.09,True,1.0,1.74
0,0.1,0,0,1,0.1,11.0,0.12,True,0.0,0.26
0,0.1,0,0,1,0.1,0.0,0.15,True,0.0,0.25
0,0.1,0,0,1,0.1,11.0,0.13,True,0.0,0.28
0,0.1,0,0,1,0.1,11.0,0.13,True,0.0,0.28
0,0.09,0,0,1,0.09,13.0,0.12,True,0.0,0.27
0,0.1,1,0,1,0.1,5.0,0.16,True,0.0,0.33
1,0.09,2,1,1,0.09,7.0,0.16,True,1.0,1.17
0,0.1,1,0,1,0.1,11.0,0.16,True,0.0,0.32
0,0.09,1,0,1,0.09,8.0,0.15,True,0.0,0.32
0,0.1,0,0,1,0.1,9.0,0.15,True,0.0,0.31
0,0.1,3,0,1,0.1,8.0,0.18,True,0.0,0.39
1,0.12,6,1,1,0.12,4.0,0.19,True,1.0,0.4
1,0.1,3,1,1,0.1,10.0,0.19,True,1.0,0.39
0,0.1,2,0,1,0.1,10.0,0.18,True,0.0,0.37
1,0.1,3,1,1,0.1,10.0,0.18,True,1.0,1.42
2,0.16,0,2,1,0.16,23.0,0.21,True,2.0,3.26
2,0.13,0,2,1,0.13,12.0,0.23,True,2.0,3.26
2,0.13,0,2,1,0.13,24.0,0.42,True,2.0,3.64
2,0.14,0,2,1,0.14,19.0,0.21,True,2.0,3.35
2,0.16,0,2,1,0.16,23.0,0.23,True,2.0,3.08
1,0.14,0,1,1,0.14,22.0,0.31,True,1.0,6.26
